Change ID,Snapshot Date,Inactive Ingredient,Route of Administration,Dosage Form,Maximum Potency per Unit Dose,Maximum Daily Exposure,Maximum Daily Exposure UOM,Status
2686,Q1 2026,FLAVOR CREME DE VANILLA 28156,ORAL,"POWDER, FOR SUSPENSION",0.10 mg/ 5.00 ml,,,R
2686,Q2 2026,FLAVOR CREME DE VANILLA 28156,ORAL,"POWDER, FOR SUSPENSION",,1,mg,R
2741,Q1 2026,FLAVOR ORANGE 57.458/AP05.51,ORAL,SUSPENSION,50.00 mg/ 5.00 ml,,,R
2741,Q2 2026,FLAVOR ORANGE 57.458/AP05.51,ORAL,SUSPENSION,,100,mg,R
2790,Q1 2026,FLAVOR RASPBERRY F-1840,ORAL,SYRUP,NA,,,R
2790,Q2 2026,FLAVOR RASPBERRY F-1840,ORAL,SYRUP,,63,mg,R
2814,Q1 2026,FLAVOR STRAWBERRY GUARANA 586.997/APO5.51,ORAL,"POWDER, FOR SUSPENSION",20.00 mg/ 5.00 ml,,,R
2814,Q2 2026,FLAVOR STRAWBERRY GUARANA 586.997/APO5.51,ORAL,"POWDER, FOR SUSPENSION",,80,mg,R
2996,Q1 2026,GLYCERIN,ORAL,ELIXIR,500.00 mg/ 1.00 ml,,,R
2996,Q2 2026,GLYCERIN,ORAL,ELIXIR,,5621,mg,R
3163,Q1 2026,GUAR GUM,ORAL,"TABLET, FILM COATED",35.40 mg,,,R
3163,Q2 2026,GUAR GUM,ORAL,"TABLET, FILM COATED",,36,mg,R
3621,Q1 2026,HYPROMELLOSE 2906 (4 MPA.S),RESPIRATORY (INHALATION),POWDER,45.67 mg,,,R
3621,Q2 2026,HYPROMELLOSE 2906 (4 MPA.S),RESPIRATORY (INHALATION),POWDER,,91,mg,R
3899,Q1 2026,LACTIC ACID,INTRAVENOUS,"INJECTION, SOLUTION",ADJ PH,,,R
3899,Q2 2026,LACTIC ACID,INTRAVENOUS,"INJECTION, SOLUTION",,87,mg,R
4988,Q1 2026,OPADRY 03B86636 BROWN,ORAL,"TABLET, DELAYED RELEASE",9.00 mg,,,R
4988,Q2 2026,OPADRY 03B86636 BROWN,ORAL,"TABLET, DELAYED RELEASE",,18,mg,R
5069,Q1 2026,OPADRY II 32K14833 PINK,ORAL,TABLET,21.00 mg,,,R
5069,Q2 2026,OPADRY II 32K14833 PINK,ORAL,TABLET,,84,mg,R
5170,Q1 2026,OPADRY II Y-22-12664 YELLOW,ORAL,TABLET,86.40 mg,,,R
5170,Q2 2026,OPADRY II Y-22-12664 YELLOW,ORAL,TABLET,,58,mg,R
5472,Q1 2026,OPADRY YS-1-7086 WHITE,ORAL,TABLET,12.00 mg,,,R
5472,Q2 2026,OPADRY YS-1-7086 WHITE,ORAL,TABLET,,48,mg,R
5821,Q1 2026,PHOSPHORIC ACID,INTRAVENOUS,INJECTION,2.11 %w/v,,,R
5821,Q2 2026,PHOSPHORIC ACID,INTRAVENOUS,INJECTION,,1294,mg,R
5921,Q1 2026,POLYCARBOPHIL,OPHTHALMIC,SOLUTION,0.90 %w/w,,,R
5921,Q2 2026,POLYCARBOPHIL,OPHTHALMIC,SOLUTION,,2,mg,R
6006,Q1 2026,POLYETHYLENE GLYCOL 400,INTRAMUSCULAR,INJECTION,20.30 %w/v,,,R
6006,Q2 2026,POLYETHYLENE GLYCOL 400,INTRAMUSCULAR,INJECTION,,406,mg,R
6278,Q1 2026,POLYSORBATE 60,ORAL,SUSPENSION,25.00 mg/ 5.00 ml,,,R
6278,Q2 2026,POLYSORBATE 60,ORAL,SUSPENSION,,125,mg,R
